*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
1.3183E+03    ,6.0E-01,6.0E-01,1.07E+02    ,5.0E+00,5.0E+00,1  ,-,2   ,+, ,B,    215,   +, ,R,a(2)(1320)       ,uD              
1.3183E+03    ,6.0E-01,6.0E-01,1.07E+02    ,5.0E+00,5.0E+00,1  ,-,2   ,+,+,B,    115,   0, ,R,a(2)(1320)       ,(uU-dD)/sqrt(2) 
1.35E+03      ,1.5E+02,1.5E+02,3.5E+02     ,1.5E+02,1.5E+02,0  ,+,0   ,+,+, ,  30221,   0, ,R,f(0)(1370)       ,x(uU+dD)+y(sS)  
1.386E+03     ,1.9E+01,1.9E+01,9.1E+01     ,3.0E+01,3.0E+01,?  ,-,1   ,+,-, ,  10333,   0, ,S,h(1)(1380)       ,x(uU+dD)+y(sS)  
1.376E+03     ,1.7E+01,1.7E+01,3.0E+02     ,4.0E+01,4.0E+01,1  ,-,1   ,-, , ,9000213,   +, ,R,pi(1)(1400)      ,Maybe non-qQ    
1.376E+03     ,1.7E+01,1.7E+01,3.0E+02     ,4.0E+01,4.0E+01,1  ,-,1   ,-,+, ,9000113,   0, ,R,pi(1)(1400)      ,Maybe non-qQ    
1.4098E+03    ,2.5E+00,2.5E+00,5.11E+01    ,3.4E+00,3.4E+00,0  ,+,0   ,-,+, ,9020221,   0, ,R,eta(1405)        ,x(uU+dD)+y(sS)  
1.4263E+03    ,9.0E-01,9.0E-01,5.49E+01    ,2.6E+00,2.6E+00,0  ,+,1   ,+,+, ,  20333,   0, ,R,f(1)(1420)       ,x(uU+dD)+y(sS)  
1.425E+03     ,2.5E+01,2.5E+01,2.15E+02    ,3.5E+01,3.5E+01,0  ,-,1   ,-,-, , 100223,   0, ,R,omega(1420)      ,x(uU+dD)+y(sS)  
1.453E+03     ,4.0E+00,4.0E+00,1.3E+01     ,5.0E+00,5.0E+00,0  ,+,2   ,+,+, ,9000225,   0, ,S,f(2)(1430)       ,x(uU+dD)+y(sS)  
1.474E+03     ,1.9E+01,1.9E+01,2.65E+02    ,1.3E+01,1.3E+01,1  ,-,0   ,+, ,B,  10211,   +, ,R,a(0)(1450)       ,uD              
1.474E+03     ,1.9E+01,1.9E+01,2.65E+02    ,1.3E+01,1.3E+01,1  ,-,0   ,+,+,B,  10111,   0, ,R,a(0)(1450)       ,(uU-dD)/sqrt(2) 
1.459E+03     ,1.1E+01,1.1E+01,1.5E+02     ,4.0E+01,4.0E+01,1  ,+,1   ,-, ,B, 100213,   +, ,R,rho(1450)        ,uD              
1.459E+03     ,1.1E+01,1.1E+01,1.5E+02     ,4.0E+01,4.0E+01,1  ,+,1   ,-,-,B, 100113,   0, ,R,rho(1450)        ,(uU-dD)/sqrt(2) 
1.476E+03     ,4.0E+00,4.0E+00,8.7E+01     ,9.0E+00,9.0E+00,0  ,+,0   ,-,+, , 100331,   0, ,R,eta(1475)        ,x(uU+dD)+y(sS)  
1.507E+03     ,5.0E+00,5.0E+00,1.09E+02    ,7.0E+00,7.0E+00,0  ,+,0   ,+,+, ,9030221,   0, ,R,f(0)(1500)       ,Maybe non-qQ    
1.518E+03     ,5.0E+00,5.0E+00,7.3E+01     ,2.5E+01,2.5E+01,0  ,+,1   ,+,+, ,9000223,   0, ,S,f(1)(1510)       ,x(uU+dD)+y(sS)  
1.525E+03     ,5.0E+00,5.0E+00,7.3E+01     ,6.0E+00,5.0E+00,0  ,+,2   ,+,+, ,    335,   0, ,R,f(2)'(1525)      ,x(uU+dD)+y(sS)  
1.546E+03     ,1.2E+01,1.2E+01,1.26E+02    ,1.2E+01,1.2E+01,0  ,+,2   ,+,+, ,9010225,   0, ,S,f(2)(1565)       ,x(uU+dD)+y(sS)  
1.594E+03     ,1.8E+01,6.2E+01,3.8E+02     ,9.0E+01,1.2E+02,0  ,-,1   ,+,-, ,9010223,   0, ,S,h(1)(1595)       ,x(uU+dD)+y(sS)  
1.653E+03     ,1.8E+01,1.5E+01,2.25E+02    ,4.5E+01,2.8E+01,1  ,-,1   ,-, , ,9010213,   +, ,R,pi(1)(1600)      ,Maybe non-qQ    
1.653E+03     ,1.8E+01,1.5E+01,2.25E+02    ,4.5E+01,2.8E+01,1  ,-,1   ,-,+, ,9010113,   0, ,R,pi(1)(1600)      ,Maybe non-qQ    
1.638E+03     ,6.0E+00,6.0E+00,9.9E+01     ,2.8E+01,2.4E+01,0  ,+,2   ,+,+, ,9020225,   0, ,S,f(2)(1640)       ,x(uU+dD)+y(sS)  
1.617E+03     ,5.0E+00,5.0E+00,1.81E+02    ,1.1E+01,1.1E+01,0  ,+,2   ,-,+, ,  10225,   0, ,R,eta(2)(1645)     ,x(uU+dD)+y(sS)  
1.670E+03     ,3.0E+01,3.0E+01,3.15E+02    ,3.5E+01,3.5E+01,0  ,-,1   ,-,-, ,  30223,   0, ,R,omega(1650)      ,x(uU+dD)+y(sS)  
1.667E+03     ,4.0E+00,4.0E+00,1.680E+02   ,1.0E+01,1.0E+01,0  ,-,3   ,-,-, ,    227,   0, ,R,omega(3)(1670)   ,x(uU+dD)+y(sS)  
1.6724E+03    ,3.2E+00,3.2E+00,2.59E+02    ,9.0E+00,9.0E+00,1  ,-,2   ,-, ,B,  10215,   +, ,R,pi(2)(1670)      ,uD              
1.6724E+03    ,3.2E+00,3.2E+00,2.59E+02    ,9.0E+00,9.0E+00,1  ,-,2   ,-,+,B,  10115,   0, ,R,pi(2)(1670)      ,(uU-dD)/sqrt(2) 
1.680E+03     ,2.0E+01,2.0E+01,1.5E+02     ,5.0E+01,5.0E+01,0  ,-,1   ,-,-, , 100333,   0, ,R,phi(1680)        ,x(uU+dD)+y(sS)  
1.6888E+03    ,2.1E+00,2.1E+00,1.610E+02   ,1.0E+01,1.0E+01,1  ,+,3   ,-, ,B,    217,   +, ,R,rho(3)(1690)     ,uD              
1.6888E+03    ,2.1E+00,2.1E+00,1.610E+02   ,1.0E+01,1.0E+01,1  ,+,3   ,-,-,B,    117,   0, ,R,rho(3)(1690)     ,(uU-dD)/sqrt(2) 
1.720E+03     ,2.0E+01,2.0E+01,2.50E+02    ,1.0E+02,1.0E+02,1  ,+,1   ,-, ,B,  30213,   +, ,R,rho(1700)        ,uD              
1.720E+03     ,2.0E+01,2.0E+01,2.50E+02    ,1.0E+02,1.0E+02,1  ,+,1   ,-,-,B,  30113,   0, ,R,rho(1700)        ,(uU-dD)/sqrt(2) 
1.732E+03     ,1.6E+01,1.6E+01,1.9E+02     ,4.0E+01,4.0E+01,1  ,-,2   ,+, ,B, 100215,   +, ,S,a(2)(1700)       ,uD              
1.732E+03     ,1.6E+01,1.6E+01,1.9E+02     ,4.0E+01,4.0E+01,1  ,-,2   ,+,+,B, 100115,   0, ,S,a(2)(1700)       ,(uU-dD)/sqrt(2) 
1.718E+03     ,6.0E+00,6.0E+00,1.37E+02    ,8.0E+00,8.0E+00,0  ,+,0   ,+,+, ,  10331,   0, ,R,f(0)(1710)       ,x(uU+dD)+y(sS)  
