|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|hltd0101|D1D01|10.130.134.1|00:30:48:7D:A8:0E|192.168.132.1|00:30:48:7D:A8:0F|cr004330|<div style='background-color:green'>x</div>|
|hltd0102|D1D01|10.130.134.2|00:30:48:7D:A8:C6|192.168.132.2|00:30:48:7D:A8:C7|cr004331|<div style='background-color:green'>x</div>|
|hltd0103|D1D01|10.130.134.3|00:30:48:7D:05:06|192.168.132.65|00:30:48:7D:05:07|cr004430|<div style='background-color:green'>x</div>|
|hltd0104|D1D01|10.130.134.4|00:30:48:7D:07:6E|192.168.132.66|00:30:48:7D:07:6F|cr004431|<div style='background-color:green'>x</div>|
|hltd0201|D1D02|10.130.135.1|00:30:48:7D:4C:42|192.168.136.1|00:30:48:7D:4C:43|cr004332|<div style='background-color:green'>x</div>|
|hltd0202|D1D02|10.130.135.2|00:30:48:7D:70:24|192.168.136.2|00:30:48:7D:70:25|cr004333|<div style='background-color:green'>x</div>|
|hltd0203|D1D02|10.130.135.3|00:30:48:7D:6D:80|192.168.136.65|00:30:48:7D:6D:81|cr004432|<div style='background-color:green'>x</div>|
|hltd0204|D1D02|10.130.135.4|00:30:48:7D:6D:70|192.168.136.66|00:30:48:7D:6D:71|cr004433|<div style='background-color:green'>x</div>|
|hltd0301|D1D03|10.130.136.1|00:30:48:7E:31:26|192.168.140.1|00:30:48:7E:31:27|cr004334|<div style='background-color:green'>x</div>|
|hltd0302|D1D03|10.130.136.2|00:30:48:7E:30:4E|192.168.140.2|00:30:48:7E:30:4F|cr004335|<div style='background-color:green'>x</div>|
|hltd0303|D1D03|10.130.136.3|00:30:48:7D:4F:F2|192.168.140.65|00:30:48:7D:4F:F3|cr004434|<div style='background-color:green'>x</div>|
|hltd0304|D1D03|10.130.136.4|00:30:48:7D:4F:F0|192.168.140.66|00:30:48:7D:4F:F1|cr004435|<div style='background-color:green'>x</div>|
|hltd0401|D1D04|10.130.137.1|00:30:48:7D:F9:7A|192.168.144.1|00:30:48:7D:F9:7B|cr004336|<div style='background-color:green'>x</div>|
|hltd0402|D1D04|10.130.137.2|00:30:48:7E:19:8C|192.168.144.2|00:30:48:7E:19:8D|cr004337|<div style='background-color:green'>x</div>|
|hltd0403|D1D04|10.130.137.3|00:30:48:7D:05:CC|192.168.144.65|00:30:48:7D:05:CD|cr004436|<div style='background-color:green'>x</div>|
|hltd0404|D1D04|10.130.137.4|00:30:48:7D:08:04|192.168.144.66|00:30:48:7D:08:05|cr004437|<div style='background-color:green'>x</div>|
|hltd0601|D1D06|10.130.139.1|00:30:48:7E:52:06|192.168.152.1|00:30:48:7E:52:07|cr004338|<div style='background-color:green'>x</div>|
|hltd0602|D1D06|10.130.139.2|00:30:48:7E:54:8C|192.168.152.2|00:30:48:7E:54:8D|cr004339|<div style='background-color:green'>x</div>|
|hltd0603|D1D06|10.130.139.3|00:30:48:7D:08:1A|192.168.152.65|00:30:48:7D:08:1B|cr004438|<div style='background-color:green'>x</div>|
|hltd0604|D1D06|10.130.139.4|00:30:48:7D:07:7E|192.168.152.66|00:30:48:7D:07:7F|cr004439|<div style='background-color:green'>x</div>|
|hltd0701|D1D07|10.130.140.1|00:30:48:7E:31:24|192.168.156.1|00:30:48:7E:31:25|cr004340|<div style='background-color:green'>x</div>|
|hltd0702|D1D07|10.130.140.2|00:30:48:7E:2C:EA|192.168.156.2|00:30:48:7E:2C:EB|cr004341|<div style='background-color:green'>x</div>|
|hltd0703|D1D07|10.130.140.3|00:30:48:7D:7B:DA|192.168.156.65|00:30:48:7D:7B:DB|cr004440|<div style='background-color:green'>x</div>|
|hltd0704|D1D07|10.130.140.4|00:30:48:7D:7B:D8|192.168.156.66|00:30:48:7D:7B:D9|cr004441|<div style='background-color:green'>x</div>|
|hltd0801|D1D08|10.130.141.1|00:30:48:7E:30:46|192.168.160.1|00:30:48:7E:30:47|cr004342|<div style='background-color:green'>x</div>|
|hltd0802|D1D08|10.130.141.2|00:30:48:7E:30:48|192.168.160.2|00:30:48:7E:30:49|cr004343|<div style='background-color:green'>x</div>|
|hltd0803|D1D08|10.130.141.3|00:30:48:7D:07:B0|192.168.160.65|00:30:48:7D:07:B1|cr004442|<div style='background-color:green'>x</div>|
|hltd0804|D1D08|10.130.141.4|00:30:48:7D:08:10|192.168.160.66|00:30:48:7D:08:11|cr004443|<div style='background-color:green'>x</div>|
|hltd0901|D1D09|10.130.142.1|00:30:48:7E:30:8A|192.168.164.1|00:30:48:7E:30:8B|cr004344|<div style='background-color:green'>x</div>|
|hltd0902|D1D09|10.130.142.2|00:30:48:7E:30:16|192.168.164.2|00:30:48:7E:30:17|cr004345|<div style='background-color:green'>x</div>|
|hltd0903|D1D09|10.130.142.3|00:30:48:7D:6D:AA|192.168.164.65|00:30:48:7D:6D:AB|cr004444|<div style='background-color:green'>x</div>|
|hltd0904|D1D09|10.130.142.4|00:30:48:7D:6D:B8|192.168.164.66|00:30:48:7D:6D:B9|cr004445|<div style='background-color:green'>x</div>|
|hltd1001|D1D10|10.130.143.1|00:30:48:7E:30:14|192.168.168.1|00:30:48:7E:30:15|cr004346|<div style='background-color:green'>x</div>|
|hltd1002|D1D10|10.130.143.2|00:30:48:7E:30:12|192.168.168.2|00:30:48:7E:30:13|cr004347|<div style='background-color:green'>x</div>|
|hltd1003|D1D10|10.130.143.3|00:30:48:7D:04:B6|192.168.168.65|00:30:48:7D:04:B7|cr004446|<div style='background-color:green'>x</div>|
|hltd1004|D1D10|10.130.143.4|00:30:48:7D:04:C0|192.168.168.66|00:30:48:7D:04:C1|cr004447|<div style='background-color:green'>x</div>|
|hltd1101|D1D11|10.130.144.1|00:30:48:79:C6:38|192.168.172.1|00:30:48:79:C6:39|cr004348|<div style='background-color:green'>x</div>|
|hltd1102|D1D11|10.130.144.2|00:30:48:7D:6D:7E|192.168.172.2|00:30:48:7D:6D:7F|cr004349|<div style='background-color:green'>x</div>|
|hltd1103|D1D11|10.130.144.3|00:30:48:7D:6D:7C|192.168.172.65|00:30:48:7D:6D:7D|cr004448|<div style='background-color:green'>x</div>|
|hltd1104|D1D11|10.130.144.4|00:30:48:7D:4E:DC|192.168.172.66|00:30:48:7D:4E:DD|cr004449|<div style='background-color:green'>x</div>|
|hlte0201|D1E03|10.130.146.1|00:19:B9:DE:16:B8|192.168.180.1|00:19:B9:DE:16:BA|4y5zf2j|<div style='background-color:green'>x</div>|
|hlte0202|D1E03|10.130.146.2|00:13:72:F9:A9:7B|192.168.180.2|00:13:72:F9:A9:7D|8y5zf2j|<div style='background-color:green'>x</div>|
|hlte02proto|D1E02|192.168.38.1|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX||
|hlte0301|D1E03|10.130.147.1|00:13:72:fa:eb:ce|192.168.184.1|00:13:72:fa:eb:d0|BVXXD2J|<div style='background-color:green'>x</div>|
|hlte0302|D1E03|10.130.147.2|00:13:72:FA:60:DF|192.168.184.2|00:13:72:FA:60:E1|30ZXD2J|<div style='background-color:green'>x</div>|
|hlte0303|D1E03|10.130.147.3|00:15:C5:E5:43:F7|192.168.184.65|00:15:C5:E5:43:F9|c1k4h2j|<div style='background-color:green'>x</div>|
|hlte03proto|D1E03|192.168.38.1|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX||
|hlta06|d1a06|10.130.106.100|00:11:43:FD:99:BA||00:11:43:FD:99:BB|gmstj1j|<div style='background-color:green'>x</div>|
|hlta0601|d1a06|10.130.106.1|00:11:43:FD:98:F7|192.168.20.1|00:11:43:FD:98:F8|f8stj1j|<div style='background-color:green'>x</div>|
|hlta0602|d1a06|10.130.106.2|00:11:43:FD:A2:1B|192.168.20.2|00:11:43:FD:A2:1C|h5mrj1j|<div style='background-color:green'>x</div>|
|hlta0603|d1a06|10.130.106.3|00:11:43:FD:9B:1C|192.168.20.65|00:11:43:FD:9B:1D|1hstj1j|<div style='background-color:green'>x</div>|
|hlta07|d1a07|10.130.107.100|00:11:43:FD:99:03||00:11:43:FD:99:04|dmstj1j|<div style='background-color:green'>x</div>|
|hlta0701|d1a07|10.130.107.1|00:11:43:FD:9A:1D|192.168.24.1|00:11:43:FD:9A:1E|1gstj1j|<div style='background-color:green'>x</div>|
|hlta0702|d1a07|10.130.107.2|00:11:43:FD:9F:5D|192.168.24.2|00:11:43:FD:9F:5E|20mrj1j|<div style='background-color:green'>x</div>|
|hlta0703|d1a07|10.130.107.3|00:11:43:FD:99:33|192.168.24.65|00:11:43:FD:99:34|bjstj1j|<div style='background-color:green'>x</div>|
|hlta08|d1a08|10.130.108.100|00:11:43:FD:98:D3||00:11:43:FD:98:D4|fmstj1j|<div style='background-color:green'>x</div>|
|hlta0801|d1a08|10.130.108.1|00:11:43:FD:A1:D9|192.168.28.1|00:11:43:FD:A1:DA|9zlrj1j|<div style='background-color:green'>x</div>|
|hlta0802|d1a08|10.130.108.2|00:11:43:FD:98:46|192.168.28.2|00:11:43:FD:98:47|gnstj1j|<div style='background-color:green'>x</div>|
|hlta0803|d1a08|10.130.108.3|00:11:43:FD:A4:F7|192.168.28.65|00:11:43:FD:A4:F8|46mrj1j|<div style='background-color:green'>x</div>|
|hlte0401|D1E04|192.168.188.1|00:13:72:fa:65:50|10.130.148.1|00:13:72:fa:65:4e|XXXXX|<div style='background-color:green'>x</div>|
|hlte0402|D1E04|192.168.188.2|00:13:72:fb:0e:0a|10.130.148.2|00:13:72:fb:0e:08|XXXXX|<div style='background-color:green'>x</div>|
|hlte0403|D1E04|192.168.188.65|00:15:c5:e5:44:6f|10.130.148.3|00:15:c5:e5:44:6d|XXXXX|<div style='background-color:green'>x</div>|
|hlte0404|D1E04|192.168.188.66|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX|<div style='background-color:green'>x</div>|
|hlte04proto|D1E04|192.168.38.1|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX||
|hlte0601|D1E06|192.168.196.1|00:13:72:f9:e7:66|10.130.150.1|00:13:72:f9:e7:64|BY5ZF2J|<div style='background-color:green'>x</div>|
|hlte0602|D1E06|192.168.196.2|00:13:72:fa:a2:e7|10.130.150.2|00:13:72:fa:a2:e5|6Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0603|D1E06|192.168.196.65|00:13:72:fa:17:0b|10.130.150.3|00:13:72:fa:17:09|9Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0604|D1E06|192.168.196.66|00:15:c5:e5:3a:40|10.130.150.4|00:15:c5:e5:3a:3e|H1K4H2J|<div style='background-color:green'>x</div>|
|hlte0605|D1E06|192.168.196.129|00:15:C5:E5:45:89|10.130.150.5|00:15:C5:E5:45:87||<div style='background-color:green'>x</div>|
|hlte0606|D1E06|192.168.196.130|00:13:72:f9:18:b6|10.130.150.6|00:13:72:f9:18:b4|7Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0607|D1E06|192.168.196.131|00:13:72:fa:3a:eb|10.130.150.7|00:13:72:fa:3a:e9|5Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0608|D1E06|192.168.196.193|00:13:72:fa:ec:45|10.130.150.8|00:13:72:fa:ec:43|CVXXD2J|<div style='background-color:green'>x</div>|
|hlte06proto|D1E04|192.168.196.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|hlte07|d1e07|10.130.151.100|00:14:22:B0:C5:9D||00:14:22:B0:C5:9E|22h122j|<div style='background-color:green'>x</div>|
|hlte0701|d1e07|192.168.200.1|00:15:C5:E5:31:6E|10.130.151.1|00:15:C5:E5:31:6C|xxxxx|<div style='background-color:green'>x</div>|
|hlte0702|d1e07|192.168.200.2|00:13:72:FB:05:31|10.130.151.2|00:13:72:FB:05:2F|9zyxd2j|<div style='background-color:green'>x</div>|
|hlte0703|d1e07|192.168.200.65|00:19:B9:F2:C8:AF|10.130.151.3|00:19:B9:F2:C8:AD|cy5zf2j|<div style='background-color:green'>x</div>|
|hlte0801|D1E08|192.168.204.1|00:15:c5:e5:44:55|10.130.152.1|00:15:c5:e5:44:54|52K4H2J|<div style='background-color:green'>x</div>|
|hlte0802|D1E08|192.168.204.2|00:13:72:fa:61:26|10.130.152.2|00:13:72:fa:61:25|7ZYXD2J|<div style='background-color:green'>x</div>|
