file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_123.out 0.360991 0.371722 0.0107311 0.00703826 -155.075 -162.998 -7.92348 0.249018 0.157558 0.0179391 0.0150008 0.00175649 -0.000925289 -0.000430002 -9.36636e-06 -2.86391e-06
autoRnd_124.out 0.339098 0.379795 0.0406969 0.00689369 -137.672 -139.105 -1.43315 0.281787 0.148146 0.0187125 0.0141062 0.00184002 -0.00069497 -0.000632999 -7.45165e-06 -6.45369e-06
autoRnd_125.out 0.506996 0.542416 0.0354196 0.00702525 -79.3314 -79.9405 -0.609164 0.211124 0.145258 0.0161318 0.01382 0.00161206 0.000219938 -0.00116749 2.11077e-06 -1.18985e-05
autoRnd_126.out 0.0901278 0.0824143 -0.00771357 0.00656424 88.2901 47.4174 -40.8728 0.253361 0.182397 0.0110334 0.0173629 0.00104473 5.41209e-06 0.000181298 1.01157e-06 1.10074e-06
autoRnd_127.out 0.200702 0.20088 0.000178144 0.00700288 65.0513 61.1969 -3.85435 0.289903 0.159717 0.00954405 0.0152081 0.000918035 0.000129048 0.000277391 1.35125e-06 2.45761e-06
autoRnd_128.out 0.263366 0.25623 -0.00713597 0.00704988 100.316 83.7123 -16.604 0.249466 0.153854 0.01698 0.0146486 0.0015814 -0.000123214 0.000676908 6.50082e-07 5.89998e-06
autoRnd_129.out 0.482536 0.509259 0.0267221 0.00700611 109.538 104.651 -4.88724 0.24845 0.150906 0.0169724 0.0143639 0.0016442 -0.000413329 0.00116472 -3.04208e-06 1.16361e-05
autoRnd_13.out 0.350983 0.406309 0.055326 0.00682837 -5.79817 -5.51563 0.282543 0.209255 0.138318 0.0147519 0.0131716 0.00145756 0.0007125 -7.23502e-05 7.76435e-06 -7.4976e-07
autoRnd_130.out 0.45752 0.472074 0.0145545 0.00694436 129.059 134.985 5.92644 0.282957 0.141704 0.0126673 0.0134918 0.00123958 -0.000517483 0.000637703 -5.5812e-06 5.58411e-06
autoRnd_131.out 0.174711 0.217072 0.042361 0.0068786 169.431 -170.509 -339.94 0.219303 0.138502 0.0137417 0.013182 0.00130797 -0.000326879 6.09925e-05 -3.69144e-06 -6.17148e-07
autoRnd_132.out 0.10097 0.178913 0.0779432 0.0062579 -97.6559 -103.183 -5.52706 0.239797 0.125977 0.0157191 0.0119951 0.00151064 -2.66374e-05 -0.000198162 -7.39366e-07 -3.15652e-06
autoRnd_133.out 0.523108 0.557903 0.0347944 0.00697002 -48.9393 -54.4444 -5.50507 0.278981 0.129261 0.0214207 0.0122998 0.00208422 0.000951404 -0.00109213 8.31661e-06 -1.16355e-05
autoRnd_134.out 0.387554 0.401439 0.0138856 0.00697966 75.6306 66.1603 -9.47029 0.284803 0.164629 0.0196092 0.0156931 0.00186239 0.000310493 0.00121198 4.74211e-06 1.07317e-05
autoRnd_135.out 0.21072 0.147486 -0.0632344 0.00664745 -88.2356 -92.2991 -4.06354 0.24804 0.177336 0.0150465 0.01688 0.00141771 1.73119e-05 -0.000561994 -1.41591e-07 -3.52663e-06
autoRnd_136.out 0.454344 0.467941 0.0135966 0.00696699 15.7604 16.773 1.01261 0.299045 0.161865 0.0126775 0.0154185 0.00119506 0.000897283 0.000253237 8.25544e-06 2.48823e-06
autoRnd_137.out 0.362518 0.44653 0.0840126 0.00675449 138.158 134.445 -3.71329 0.275002 0.165536 0.0150605 0.0157658 0.00142218 -0.000673307 0.000602885 -7.01068e-06 7.1478e-06
autoRnd_138.out 0.519039 0.545454 0.0264145 0.00699921 -138.935 -143.08 -4.14511 0.280807 0.150167 0.0152692 0.0142998 0.00147962 -0.00089731 -0.000781816 -9.22664e-06 -6.93263e-06
autoRnd_139.out 0.251393 0.296958 0.0455651 0.0068546 -127.635 -127.856 -0.221137 0.284701 0.130328 0.0148631 0.0124101 0.00147801 -0.000297354 -0.000385639 -3.34262e-06 -4.30061e-06
autoRnd_14.out 0.447763 0.431443 -0.0163199 0.00701082 26.754 22.0138 -4.7402 0.262529 0.162591 0.0103891 0.0154912 0.0010005 0.000675383 0.00034048 6.19941e-06 2.50646e-06
autoRnd_140.out 0.394986 0.405234 0.010248 0.0069004 -127.292 -118.308 8.98382 0.25578 0.120489 0.0172105 0.01147 0.00164554 -0.000496255 -0.000651622 -3.62701e-06 -6.73386e-06
autoRnd_141.out 0.54641 0.5707 0.0242905 0.00694669 -73.255 -67.2144 6.04064 0.274185 0.119906 0.0136331 0.0114245 0.00128654 0.000257345 -0.000855337 3.24862e-06 -7.7336e-06
autoRnd_142.out 0.469938 0.458693 -0.0112449 0.00694517 45.9376 41.5272 -4.41039 0.281041 0.175552 0.0120829 0.0167281 0.00114184 0.000693229 0.000716298 6.55912e-06 5.80858e-06
autoRnd_143.out 0.364275 0.335219 -0.0290563 0.00684917 165.963 157.212 -8.75142 0.259062 0.183117 0.0181307 0.0174308 0.00173122 -0.0011733 0.000293337 -9.3261e-06 3.91808e-06
autoRnd_144.out 0.100066 0.107418 0.00735252 0.00684011 58.2421 94.6824 36.4402 0.241505 0.170953 0.0119004 0.0162721 0.00113106 0.000107148 0.000173096 -1.61386e-07 1.9704e-06
autoRnd_145.out 0.530975 0.545222 0.0142468 0.00694907 112.194 115.411 3.21719 0.259967 0.175504 0.0115035 0.016705 0.0010983 -0.000404928 0.000992566 -4.29244e-06 9.03549e-06
autoRnd_146.out 0.629434 0.644602 0.0151677 0.00693285 -169.702 -170.181 -0.479261 0.161007 0.14361 0.014232 0.0136839 0.00137799 -0.00126574 -0.000229988 -1.19767e-05 -2.07286e-06
autoRnd_147.out 0.400395 0.410292 0.00989699 0.0070242 -45.3017 -54.5587 -9.25698 0.282184 0.139586 0.0167627 0.0132873 0.00162899 0.000658965 -0.000665942 5.14963e-06 -7.23518e-06
autoRnd_148.out 0.0730547 0.108947 0.0358927 0.00659776 -30.5757 -53.5154 -22.9396 0.27293 0.136507 0.0172705 0.0129976 0.0016979 0.000148283 -8.76093e-05 1.42963e-06 -1.93311e-06
autoRnd_149.out 0.590597 0.604276 0.0136783 0.00699676 -33.6397 -31.425 2.21475 0.258658 0.12794 0.0139592 0.0121848 0.00138192 0.000878135 -0.00058431 8.68259e-06 -5.30507e-06
autoRnd_15.out 0.669043 0.644182 -0.024861 0.00697199 121.205 118.118 -3.08641 0.251364 0.155566 0.0160159 0.0148333 0.00147757 -0.000863644 0.00142577 -6.65408e-06 1.24523e-05
autoRnd_150.out 0.327357 0.302687 -0.0246698 0.00691072 -18.6462 -8.97538 9.67079 0.334467 0.156755 0.0140176 0.0149323 0.00129163 0.000681555 -0.00022998 5.76645e-06 -9.10776e-07
autoRnd_151.out 0.249093 0.227382 -0.0217106 0.00699705 -106.966 -121.965 -14.9989 0.243562 0.147168 0.0137293 0.0140072 0.0012502 -0.000146863 -0.000481392 -2.108e-06 -3.37811e-06
autoRnd_152.out 0.177584 0.124685 -0.0528991 0.00661551 -91.7999 -88.2728 3.5271 0.237822 0.162413 0.0152556 0.0154642 0.00147791 -1.38203e-05 -0.000439786 8.58885e-08 -2.84834e-06
autoRnd_153.out 0.0906939 0.162548 0.0718542 0.00620784 159.13 166.533 7.40284 0.209878 0.155123 0.0159246 0.0147648 0.00153436 -0.000209339 7.98139e-05 -3.58117e-06 8.57602e-07
autoRnd_154.out 0.366759 0.379192 0.0124331 0.00684598 -167.777 -157.705 10.0717 0.288107 0.159067 0.0153256 0.015162 0.00144911 -0.000873813 -0.0001893 -7.70852e-06 -3.16074e-06
autoRnd_155.out 0.408146 0.410619 0.00247275 0.00695446 -112.324 -105.976 6.34847 0.253259 0.150212 0.0152718 0.0143 0.00143638 -0.000355651 -0.000866113 -2.32137e-06 -8.10842e-06
autoRnd_156.out 0.249814 0.274799 0.0249848 0.00699542 -81.8909 -74.8611 7.02979 0.258089 0.145715 0.0150324 0.0138704 0.00147657 7.71877e-05 -0.000541732 1.46983e-06 -5.43275e-06
