0.5	369.67
1.73077	269.253
2.42308	266.952
3.11538	271.825
3.80769	280.839
4.5	293.039
5.19231	308.295
5.88462	327.061
6.57692	350.684
7.26923	384.042
7.96154	434.842
8.65385	452.329
9.34615	477.391
10.0385	510.249
10.7308	553.527
11.4231	605.593
12.1154	661.953
12.8077	724.111
13.5	794.257
14.1923	875.658
14.8846	973.486
15.5769	1096.63
16.2692	1262.13
16.9615	1507.51
17.6538	1931.03
0.5	444.063
1.73077	344.938
2.42308	344.596
3.11538	351.615
3.80769	362.797
4.5	377.068
5.19231	394.191
5.88462	414.523
6.57692	439.359
7.26923	473.77
7.96154	529.167
8.65385	540.593
9.34615	558.545
10.0385	581.988
10.7308	612.293
11.4231	651.924
12.1154	704.868
12.8077	775.547
13.5	859.071
14.1923	958.726
14.8846	1082.41
15.5769	1244.11
16.2692	1471.33
16.9615	1826.66
17.6538	2481.72
0.5	258.087
1.26199	174.55
1.76678	164.259
2.27158	161.739
2.77637	163.128
3.28117	167.039
3.78597	172.919
4.29076	180.577
4.79556	190.032
5.30035	201.465
5.80515	215.226
6.30994	231.935
6.81474	252.819
7.31953	281.686
7.82433	322.468
8.32912	340.657
8.83392	360.999
9.33871	380.193
9.84351	397.779
10.3483	413.187
10.8531	425.594
11.3579	433.7
11.8627	435.225
12.3675	425.419
12.8723	389.476
