#CLKstep	Min_Int1_avg	Min_Int1_stddev	Min_Int2_avg	Min_Int2_stddev
1	1.0681e+00	3.7583e-03	9.7368e-01	1.9158e-02
2	1.0672e+00	4.2150e-03	9.6296e-01	1.4253e-02
3	1.0689e+00	2.9485e-03	9.6154e-01	1.1981e-02
4	1.0666e+00	3.6840e-03	9.5821e-01	8.8472e-03
5	1.0685e+00	3.4445e-03	9.5834e-01	1.0158e-02
6	1.0679e+00	2.6641e-03	9.6120e-01	1.1456e-02
7	1.0688e+00	2.6242e-03	9.6493e-01	1.0257e-02
8	1.0691e+00	3.3014e-03	9.6069e-01	8.8000e-03
9	1.0686e+00	3.9935e-03	9.6186e-01	1.2478e-02
10	1.0690e+00	3.5463e-03	9.6307e-01	1.5067e-02
11	1.0682e+00	3.0513e-03	9.6638e-01	9.3958e-03
12	1.0668e+00	3.8273e-03	9.5892e-01	8.6986e-03
13	1.0661e+00	3.9160e-03	9.5519e-01	1.2938e-02
14	1.0677e+00	2.8926e-03	9.5718e-01	1.2326e-02
15	1.0685e+00	4.4705e-03	9.6134e-01	1.2931e-02
16	1.0674e+00	4.1914e-03	9.5688e-01	1.4762e-02
17	1.0682e+00	4.0925e-03	9.5811e-01	8.3534e-03
18	1.0687e+00	3.4968e-03	9.6161e-01	1.2439e-02
19	1.0677e+00	2.7132e-03	9.5953e-01	1.3886e-02
20	1.0659e+00	4.6123e-03	9.5443e-01	1.0684e-02
21	1.0666e+00	2.8359e-03	9.5973e-01	1.1558e-02
22	1.0688e+00	3.0976e-03	9.6120e-01	9.9100e-03
23	1.0656e+00	2.6752e-03	9.6299e-01	1.1010e-02
24	1.0656e+00	5.6292e-03	9.6012e-01	1.4553e-02
25	1.0670e+00	3.2543e-03	9.6160e-01	8.6865e-03
26	1.0657e+00	4.7695e-03	9.5722e-01	1.3701e-02
27	1.0673e+00	4.3250e-03	9.5758e-01	8.4179e-03
28	1.0666e+00	3.3492e-03	9.6297e-01	1.2046e-02
29	1.0649e+00	4.7339e-03	9.6150e-01	1.4718e-02
30	1.0676e+00	3.2979e-03	9.5867e-01	1.0116e-02
31	1.0683e+00	4.0325e-03	9.5938e-01	1.2498e-02
32	1.0663e+00	4.3833e-03	9.6432e-01	1.4761e-02
33	1.0682e+00	2.9185e-03	9.5949e-01	6.8254e-03
34	1.0659e+00	4.1738e-03	9.6482e-01	1.1270e-02
35	1.0655e+00	2.7051e-03	9.5904e-01	1.4125e-02
36	1.0679e+00	3.6522e-03	9.6254e-01	9.8378e-03
37	1.0667e+00	4.1907e-03	9.6598e-01	1.2557e-02
38	1.0658e+00	6.9175e-03	9.6987e-01	1.1681e-02
39	1.0671e+00	2.9312e-03	9.6542e-01	1.2456e-02
40	1.0654e+00	2.9010e-03	9.6511e-01	5.8470e-03
41	1.0667e+00	2.7039e-03	9.6609e-01	1.3861e-02
42	1.0669e+00	4.5813e-03	9.6780e-01	1.1626e-02
43	1.0680e+00	2.7193e-03	9.7184e-01	1.1716e-02
44	1.0684e+00	3.8898e-03	9.7248e-01	9.5311e-03
45	1.0650e+00	5.0005e-03	9.7274e-01	1.1293e-02
46	1.0667e+00	4.2856e-03	9.7318e-01	1.3080e-02
47	1.0640e+00	4.3346e-03	9.7152e-01	1.9114e-02
48	1.0652e+00	4.9375e-03	9.7356e-01	1.4774e-02
49	1.0640e+00	2.7259e-03	9.6763e-01	8.3480e-03
50	1.0680e+00	3.2655e-03	9.7638e-01	9.9782e-03
51	1.0671e+00	3.2486e-03	9.6782e-01	1.3990e-02
52	1.0661e+00	3.3852e-03	9.7171e-01	9.5207e-03
53	1.0665e+00	3.4707e-03	9.6794e-01	1.3350e-02
54	1.0663e+00	6.8692e-03	9.7828e-01	1.1723e-02
55	1.0642e+00	6.4511e-03	9.8122e-01	1.0218e-02
56	1.0685e+00	2.7106e-03	9.8402e-01	9.2284e-03
57	1.0676e+00	3.8176e-03	9.7632e-01	1.2559e-02
58	1.0662e+00	4.5040e-03	9.7330e-01	1.1035e-02
59	1.0678e+00	2.3969e-03	9.7794e-01	1.4375e-02
60	1.0660e+00	3.2744e-03	9.8253e-01	2.2409e-02
61	1.0665e+00	2.7006e-03	9.8379e-01	1.1806e-02
62	1.0668e+00	4.7269e-03	9.8200e-01	1.0432e-02
63	1.0669e+00	3.3448e-03	9.8779e-01	1.9825e-02
64	1.0660e+00	4.5719e-03	9.8872e-01	1.4838e-02
65	1.0643e+00	3.9585e-03	9.8222e-01	1.3439e-02
66	1.0677e+00	2.2591e-03	9.9198e-01	7.4696e-03
67	1.0672e+00	3.0255e-03	9.8758e-01	1.3366e-02
68	1.0649e+00	5.3663e-03	9.8270e-01	1.7354e-02
69	1.0649e+00	3.5725e-03	9.8559e-01	1.7758e-02
70	1.0675e+00	3.2747e-03	9.9503e-01	2.2273e-02
71	1.0658e+00	3.7835e-03	9.8777e-01	1.0057e-02
72	1.0664e+00	4.3878e-03	9.8806e-01	1.5507e-02
73	1.0662e+00	3.8458e-03	9.9739e-01	1.8538e-02
74	1.0646e+00	5.1969e-03	9.9480e-01	1.7760e-02
75	1.0681e+00	2.7527e-03	1.0065e+00	1.6562e-02
76	1.0651e+00	4.2606e-03	1.0001e+00	1.3602e-02
77	1.0672e+00	3.3291e-03	1.0036e+00	1.0645e-02
78	1.0643e+00	3.3979e-03	1.0086e+00	1.1707e-02
79	1.0686e+00	3.9605e-03	1.0032e+00	1.4694e-02
80	1.0669e+00	4.8259e-03	1.0132e+00	8.3134e-03
81	1.0664e+00	2.4209e-03	1.0169e+00	1.4808e-02
82	1.0682e+00	6.3137e-03	1.0168e+00	1.1839e-02
83	1.0648e+00	1.9703e-03	1.0212e+00	1.9322e-02
84	1.0630e+00	6.5341e-03	1.0159e+00	1.8957e-02
85	1.0675e+00	2.9789e-03	1.0235e+00	2.0217e-02
86	1.0690e+00	3.9927e-03	1.0215e+00	1.1044e-02
87	1.0657e+00	6.0795e-03	1.0218e+00	1.4970e-02
88	1.0692e+00	2.7587e-03	1.0153e+00	1.3931e-02
89	1.0672e+00	4.0613e-03	1.0220e+00	1.5685e-02
90	1.0667e+00	3.2464e-03	1.0205e+00	1.5276e-02
91	1.0656e+00	2.9062e-03	1.0237e+00	1.3933e-02
92	1.0655e+00	8.0551e-03	1.0166e+00	1.9190e-02
93	1.0664e+00	2.8908e-03	1.0261e+00	1.0871e-02
94	1.0654e+00	4.6026e-03	1.0333e+00	1.4752e-02
95	1.0648e+00	4.5787e-03	1.0236e+00	1.5683e-02
96	1.0646e+00	4.4109e-03	1.0271e+00	1.6054e-02
97	1.0651e+00	8.8374e-03	1.0249e+00	1.2033e-02
98	1.0671e+00	4.3148e-03	1.0366e+00	1.0283e-02
99	1.0608e+00	1.0183e-02	1.0302e+00	1.1847e-02
100	1.0686e+00	5.7467e-03	1.0397e+00	1.4429e-02
101	1.0652e+00	4.4176e-03	1.0331e+00	1.5260e-02
102	1.0656e+00	5.7472e-03	1.0354e+00	1.5312e-02
103	1.0671e+00	5.0946e-03	1.0407e+00	9.5337e-03
104	1.0655e+00	7.1352e-03	1.0367e+00	1.5341e-02
105	1.0669e+00	3.6462e-03	1.0321e+00	1.6160e-02
106	1.0680e+00	6.4419e-03	1.0411e+00	1.4100e-02
107	1.0653e+00	5.6001e-03	1.0321e+00	1.1628e-02
108	1.0665e+00	4.9589e-03	1.0278e+00	1.2502e-02
109	1.0677e+00	3.0308e-03	1.0418e+00	8.1904e-03
110	1.0654e+00	4.5934e-03	1.0291e+00	1.1676e-02
111	1.0676e+00	2.9676e-03	1.0290e+00	1.3651e-02
112	1.0682e+00	3.9556e-03	1.0416e+00	9.5021e-03
113	1.0676e+00	5.2587e-03	1.0365e+00	9.9226e-03
114	1.0667e+00	7.8318e-03	1.0308e+00	1.0284e-02
115	1.0647e+00	6.0378e-03	1.0331e+00	1.5069e-02
116	1.0685e+00	3.5871e-03	1.0437e+00	5.7706e-03
117	1.0666e+00	3.7051e-03	1.0390e+00	1.0368e-02
118	1.0697e+00	4.1369e-03	1.0410e+00	8.5068e-03
119	1.0663e+00	4.5142e-03	1.0386e+00	8.7975e-03
120	1.0673e+00	3.8409e-03	1.0443e+00	6.9431e-03
121	1.0683e+00	3.7155e-03	1.0420e+00	7.2597e-03
122	1.0674e+00	3.2624e-03	1.0417e+00	9.7272e-03
123	1.0665e+00	4.2466e-03	1.0399e+00	1.1456e-02
124	1.0657e+00	2.0459e-03	1.0406e+00	7.4366e-03
125	1.0689e+00	2.0439e-03	1.0394e+00	7.4495e-03
126	1.0681e+00	4.1170e-03	1.0380e+00	6.2906e-03
127	1.0669e+00	3.6369e-03	1.0366e+00	1.0368e-02
128	1.0665e+00	3.4908e-03	1.0371e+00	9.1724e-03
129	1.0681e+00	3.7848e-03	1.0411e+00	8.2999e-03
130	1.0684e+00	3.0591e-03	1.0381e+00	8.5418e-03
131	1.0685e+00	3.6673e-03	1.0422e+00	7.4795e-03
132	1.0667e+00	4.0152e-03	1.0388e+00	9.2899e-03
133	1.0670e+00	2.4025e-03	1.0381e+00	8.4523e-03
134	1.0650e+00	8.0044e-03	1.0351e+00	1.3457e-02
135	1.0669e+00	2.2131e-03	1.0420e+00	6.6909e-03
136	1.0677e+00	3.6564e-03	1.0372e+00	9.7005e-03
137	1.0671e+00	3.2912e-03	1.0422e+00	8.2215e-03
138	1.0661e+00	2.3128e-03	1.0378e+00	1.1211e-02
139	1.0674e+00	4.1267e-03	1.0370e+00	1.2840e-02
140	1.0679e+00	3.4817e-03	1.0395e+00	7.0219e-03
141	1.0681e+00	2.7626e-03	1.0413e+00	8.6670e-03
142	1.0681e+00	3.2829e-03	1.0359e+00	6.0128e-03
143	1.0644e+00	2.7389e-03	1.0337e+00	1.3760e-02
144	1.0656e+00	3.2448e-03	1.0372e+00	9.7017e-03
145	1.0662e+00	2.7316e-03	1.0419e+00	5.3200e-03
146	1.0650e+00	3.4307e-03	1.0349e+00	9.7008e-03
147	1.0671e+00	4.6641e-03	1.0374e+00	8.7412e-03
148	1.0669e+00	2.5709e-03	1.0408e+00	6.3067e-03
149	1.0664e+00	5.4015e-03	1.0347e+00	9.9897e-03
150	1.0658e+00	5.7382e-03	1.0312e+00	1.1596e-02
151	1.0654e+00	4.2112e-03	1.0353e+00	1.4898e-02
152	1.0660e+00	2.7023e-03	1.0374e+00	9.8488e-03
153	1.0663e+00	2.8368e-03	1.0387e+00	7.8807e-03
154	1.0640e+00	5.6705e-03	1.0271e+00	1.0418e-02
155	1.0660e+00	2.1996e-03	1.0371e+00	1.0153e-02
156	1.0667e+00	2.0546e-03	1.0374e+00	5.8297e-03
157	1.0649e+00	5.5289e-03	1.0376e+00	1.3405e-02
158	1.0643e+00	6.2816e-03	1.0394e+00	1.3728e-02
159	1.0677e+00	2.7604e-03	1.0425e+00	7.2470e-03
160	1.0652e+00	4.1809e-03	1.0303e+00	8.5982e-03
161	1.0658e+00	2.1361e-03	1.0403e+00	8.9170e-03
162	1.0648e+00	3.1306e-03	1.0305e+00	1.1279e-02
163	1.0675e+00	5.4751e-03	1.0353e+00	8.4780e-03
164	1.0657e+00	6.5012e-03	1.0358e+00	1.1692e-02
165	1.0649e+00	6.2809e-03	1.0306e+00	1.0787e-02
166	1.0636e+00	3.0578e-03	1.0330e+00	9.9458e-03
167	1.0634e+00	6.1838e-03	1.0369e+00	9.5825e-03
168	1.0656e+00	2.8208e-03	1.0326e+00	1.1141e-02
169	1.0637e+00	5.8196e-03	1.0326e+00	1.6419e-02
170	1.0655e+00	2.8344e-03	1.0380e+00	1.2055e-02
171	1.0652e+00	4.2828e-03	1.0383e+00	9.5695e-03
172	1.0661e+00	4.5216e-03	1.0321e+00	1.3404e-02
173	1.0669e+00	5.3538e-03	1.0332e+00	1.4486e-02
174	1.0675e+00	2.5222e-03	1.0345e+00	1.1077e-02
175	1.0652e+00	5.2998e-03	1.0357e+00	1.2423e-02
176	1.0659e+00	2.0282e-03	1.0361e+00	1.0136e-02
177	1.0692e+00	2.5659e-03	1.0392e+00	7.8628e-03
178	1.0664e+00	3.3188e-03	1.0391e+00	9.1816e-03
179	1.0673e+00	2.8103e-03	1.0379e+00	9.0059e-03
180	1.0667e+00	1.6857e-03	1.0371e+00	8.8010e-03
181	1.0642e+00	8.4266e-03	1.0352e+00	1.3594e-02
182	1.0669e+00	2.2666e-03	1.0423e+00	7.6771e-03
183	1.0679e+00	1.9415e-03	1.0420e+00	8.6180e-03
184	1.0666e+00	2.6348e-03	1.0434e+00	7.1055e-03
185	1.0668e+00	3.4257e-03	1.0373e+00	1.0476e-02
186	1.0678e+00	2.7597e-03	1.0364e+00	8.5644e-03
187	1.0673e+00	2.9134e-03	1.0363e+00	6.3777e-03
188	1.0647e+00	6.4202e-03	1.0324e+00	1.4295e-02
189	1.0663e+00	3.2214e-03	1.0327e+00	1.0159e-02
190	1.0661e+00	1.7697e-03	1.0378e+00	8.3175e-03
191	1.0658e+00	2.4065e-03	1.0418e+00	6.7832e-03
192	1.0672e+00	2.9944e-03	1.0394e+00	9.0265e-03
193	1.0670e+00	2.1238e-03	1.0406e+00	7.2128e-03
194	1.0669e+00	2.1705e-03	1.0376e+00	1.0405e-02
195	1.0661e+00	3.0870e-03	1.0316e+00	1.0776e-02
196	1.0680e+00	3.8956e-03	1.0409e+00	7.2143e-03
197	1.0667e+00	4.9345e-03	1.0391e+00	7.7306e-03
198	1.0648e+00	6.9638e-03	1.0356e+00	1.2970e-02
