#CLKstep	Min_Int1_avg	Min_Int1_stddev	Min_Int2_avg	Min_Int2_stddev
93	1.0158e+00	1.2511e-02	1.0355e+00	1.0647e-02
94	1.0118e+00	8.3568e-03	1.0332e+00	8.9073e-03
95	1.0150e+00	9.8226e-03	1.0353e+00	7.8829e-03
96	1.0135e+00	1.8532e-02	1.0367e+00	9.0153e-03
97	1.0136e+00	1.6297e-02	1.0320e+00	1.0625e-02
98	1.0055e+00	1.3773e-02	1.0320e+00	1.3419e-02
99	1.0105e+00	1.3007e-02	1.0315e+00	8.2016e-03
100	1.0146e+00	1.3133e-02	1.0391e+00	9.6394e-03
101	1.0000e+00	1.0178e-02	1.0299e+00	1.5842e-02
102	1.0085e+00	1.4772e-02	1.0342e+00	1.2704e-02
103	1.0051e+00	7.2079e-03	1.0402e+00	7.7113e-03
104	1.0006e+00	1.2073e-02	1.0272e+00	1.5381e-02
105	1.0036e+00	1.1560e-02	1.0294e+00	1.5111e-02
106	1.0010e+00	1.0920e-02	1.0276e+00	1.4519e-02
107	9.9768e-01	1.2610e-02	1.0321e+00	1.0385e-02
108	9.9716e-01	1.1404e-02	1.0261e+00	1.1594e-02
109	1.0024e+00	1.1472e-02	1.0372e+00	9.4653e-03
110	1.0071e+00	1.3235e-02	1.0384e+00	9.0159e-03
111	1.0006e+00	1.3019e-02	1.0368e+00	1.1979e-02
112	9.9750e-01	1.3173e-02	1.0262e+00	1.1821e-02
113	1.0022e+00	9.1954e-03	1.0360e+00	9.8851e-03
114	1.0004e+00	1.2527e-02	1.0301e+00	1.0869e-02
115	9.9854e-01	1.0423e-02	1.0331e+00	9.3458e-03
116	9.9708e-01	1.1932e-02	1.0315e+00	1.1760e-02
117	1.0031e+00	8.6001e-03	1.0381e+00	1.0855e-02
118	9.9739e-01	1.7980e-02	1.0286e+00	1.5071e-02
119	1.0003e+00	8.6650e-03	1.0395e+00	8.7024e-03
120	9.9330e-01	1.3340e-02	1.0262e+00	1.0422e-02
121	1.0032e+00	7.4224e-03	1.0392e+00	9.0375e-03
122	9.8876e-01	7.0817e-03	1.0298e+00	1.3096e-02
123	9.9142e-01	8.8345e-03	1.0307e+00	1.3379e-02
124	1.0004e+00	1.3263e-02	1.0368e+00	9.6316e-03
125	9.9554e-01	1.4279e-02	1.0310e+00	1.5458e-02
126	9.8729e-01	9.0803e-03	1.0203e+00	1.4127e-02
127	9.9388e-01	1.0324e-02	1.0278e+00	1.1793e-02
128	9.9134e-01	8.6838e-03	1.0230e+00	1.5056e-02
129	9.9639e-01	1.0393e-02	1.0300e+00	1.0848e-02
130	9.9895e-01	1.7106e-02	1.0337e+00	1.1618e-02
131	9.9453e-01	1.2692e-02	1.0306e+00	1.1820e-02
132	1.0012e+00	1.0330e-02	1.0336e+00	9.5849e-03
133	9.9582e-01	1.0582e-02	1.0286e+00	1.3083e-02
134	9.9318e-01	1.0051e-02	1.0310e+00	9.8949e-03
135	9.9153e-01	1.2340e-02	1.0275e+00	1.3345e-02
136	9.9890e-01	7.6644e-03	1.0314e+00	1.2807e-02
