|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|hlte0803|D1E08|192.168.204.65|00:13:72:f9:18:60|10.130.152.3|00:13:72:f9:18:5f|3Y5ZF2J|<div style='background-color:green'>x</div>|
|hlte0804|D1E08|192.168.204.66|00:13:72:fb:08:81|10.130.152.4|00:13:72:fb:08:80|DY5ZF2J|<div style='background-color:green'>x</div>|
|hlte08proto|D1E04|192.168.38.1|00:15:c5:e5:3a:77|10.130.149.4|00:15:c5:e5:3a:75|XXXXX||
|hlte0901|D1E09|192.168.208.1|00:13:72:fa:f1:ea|10.130.153.1|00:13:72:fa:f1:e8||<div style='background-color:green'>x</div>|
|hlte0902|D1E09|192.168.208.2|00:13:72:fb:0d:37|10.130.153.2|00:13:72:fb:0d:35||<div style='background-color:green'>x</div>|
|hlte0903|D1E09|192.168.208.65|00:15:c5:e5:32:25|10.130.153.3|00:15:c5:e5:32:23||<div style='background-color:green'>x</div>|
|hlte0904|D1E09|192.168.208.66|00:15:c5:e5:44:51|10.130.153.4|00:15:c5:e5:44:4f||<div style='background-color:green'>x</div>|
|hlte1001|D1E10|192.168.212.1|00:15:c5:e5:3a:a4|10.130.154.1|00:15:c5:e5:3a:a2||<div style='background-color:green'>x</div>|
|hlte1002|D1E10|192.168.212.2|00:13:72:fa:ff:7c|10.130.154.2|00:13:72:fa:ff:7a|SVXXD2J|<div style='background-color:green'>x</div>|
|hlte1003|D1E10|192.168.212.65|00:13:72:fa:ff:86|10.130.154.3|00:13:72:fa:ff:84|7VXXD2J|<div style='background-color:green'>x</div>|
|hlte1004|D1E10|192.168.212.66|00:13:72:fb:0d:6e|10.130.154.4|00:13:72:fb:0d:6c|9VXXD2J|<div style='background-color:green'>x</div>|
|hlte11|d1e11|10.130.155.100|00:14:22:B0:CA:1D||00:14:22:B0:CA:1E|hcy122j|<div style='background-color:green'>x</div>|
|hlte1101|d1e11|192.168.216.1|00:13:72:FA:15:B1|10.130.155.1|00:13:72:FA:15:AF|bzyxd2j|<div style='background-color:green'>x</div>|
|hlte1102|d1e11|192.168.216.2|00:13:72:FA:66:2C|10.130.155.2|00:13:72:FA:66:2A|20zxd2j|<div style='background-color:green'>x</div>|
|hlte1103|d1e11|192.168.216.65|00:13:72:FB:04:80|10.130.155.3|00:13:72:FB:04:7E|gzyxd2j|<div style='background-color:green'>x</div>|
|hlte1104|d1e11|192.168.216.66|00:13:72:FB:05:31|10.130.155.4|00:13:72:FB:05:2F|9zyxd2j|<div style='background-color:green'>x</div>|
|hlte11proto|d1e11|10.135.155.101|00:13:72:FA:15:AF|10.135.155.101|00:13:72:FA:15:AF|||
|*D2*||||||||
|bcmdaq01|d2|10.130.39.22|00:30:48:7E:75:CE||00:30:48:7E:75:CF|SN0100008457|<div style='background-color:green'>x</div>|
|hlte02|D2B01|10.130.146.100|00:14:22:B0:C7:7D||00:14:22:B0:C7:7E|7L3122J|<div style='background-color:green'>x</div>|
|hlte03|D2B01|10.130.147.100|00:14:22:B0:C6:18||00:14:22:B0:C6:19|7L3122J|<div style='background-color:green'>x</div>|
|cadcs01w|d2c06f34|10.130.20.19|00:14:22:B0:C9:79||00:14:22:B0:C9:78||<div style='background-color:green'>x</div>|
|cadcs02w|d2c03f46|10.130.20.42|00:14:22:B0:C9:CA||00:14:22:B0:C9:C9|188222j|<div style='background-color:green'>x</div>|
|dumdaq01|d2c07|10.130.39.3|00:14:22:B0:C9:63||00:14:22:b0:c9:64|DDY122J|<div style='background-color:green'>x</div>|
|dumhugin01|d2e01f42|10.130.69.100|00:30:59:01:C9:4E|||huginv1_33||
|ecdaq01|d2c07|10.130.39.6|00:14:22:B0:C6:00||00:14:22:b0:c6:01|79d122g|<div style='background-color:green'>x</div>|
|ecdaqhva01w|d2c03f38-39|10.130.20.34|00:04:23:C5:1A:85||00:04:23:C5:1A:84|bzdr60100469|<div style='background-color:green'>x</div>|
|ecdaqhvc01w|d2c03f34-35|10.130.20.20|00:04:23:C5:19:B1||00:04:23:C5:19:B0|bzdr60251144|<div style='background-color:green'>x</div>|
|ecs02w|d2c07f22|10.130.20.33|00:14:22:B0:C5:5C||00:14:22:B0:C5:5B|1l3122j|<div style='background-color:green'>x</div>|
|hcdaq01|d2c07|10.130.39.13|00:14:22:B0:D1:13||00:14:22:b0:d1:14|79d122g|<div style='background-color:green'>x</div>|
|hcdaqhva01w|d2c03f40-41|10.130.20.35|00:04:23:C6:DC:FD||00:04:23:C6:DC:FC|bzdr60100465|<div style='background-color:green'>x</div>|
|hcdaqhvc01w|d2c03f32-33|10.130.20.33|00:04:23:C9:DA:07||00:04:23:C9:DA:06|bzdr55200424|<div style='background-color:green'>x</div>|
